id;quantite;date;date_der_modif
1;40873;2021-01-27T04:50:36;2021-01-26T22:56:52
2;65899;2021-01-26T18:30:29;2021-01-27T10:36:43
3;89868;2021-01-27T05:33:47;2021-01-26T21:45:08
4;54977;2021-01-27T01:03:35;2021-01-27T02:54:37
5;98154;2021-01-26T20:39:43;2021-01-27T04:12:28
6;20856;2021-01-26T18:50:33;2021-01-26T20:39:00
7;52455;2021-01-26T21:12:40;2021-01-27T11:21:57
8;62067;2021-01-26T22:29:09;2021-01-27T01:59:50
9;14444;2021-01-26T18:40:09;2021-01-26T16:02:12
10;31235;2021-01-26T21:48:05;2021-01-27T10:42:56
